NEG;Сначала читал, потом листал, в середине просто скипнул в конец.Мягко говоря книжка не о чем - это скорее рассказ размазанный на книжку.Причём местами думаешь что же такого пил/принимал/нюхал автор чтоб написать это. А местами думаешь что где то я это уже читал.В общем если это дебют автора то оценка - неуд. Я конечно понимаю что на фантастику всё списать и любой бред в том чеслеможно но блин, надо же и немного усилий приложить.
NEG;Мне было скучно. Любовная линия, развиваясь, натужно скрипела. Магия-шмагия, древнерусский мир - такие штамповки... просто солянка сборная из всего, что наиздавала Армада за последние пять лет.
POS;Никогда раньше не читала яой. Знакомство с жанром не разочаровало
POS;Очень-очень стильно. Отечественный жанр слишком заштампован. а эта вещь свежая:) как незабудка...
NEG;Обычно на книгу у меня уходит день-два. Если это бумажный вариант, то читаю дня 3-4. Эту книга есть в бумажном варианте - осиливаю ее уже больше месяца и еле добрался до середины... Странная книга. Вроде все есть: и магия, и сражения и детектив, но чего-то не хватает, может быть интересности в целом и интриги...
NEG;Книга напоминает шедевры коммунизна-социализа, тот же морализм, так же все затянуто длинющими нравоучениями и все это перемешано кучей курсива, типа тута все главное, тута читать надо. А тута пролистни, тута фигня.Вообщем у книжки есть идея, идея патриотизма мне всегда были близки, но как это все исполненно, слов нет.Я эту муть не покупал.Shift+del
NEG;Реально надоела одна и та же жевачка! Вроде и язык неплохой, и читается гладко, но...
POS;Вторая книга получилась лучше первой. Появилась интрига, сюжет обрел глобальность мир обрел новые краски. Плюс ко всему качество текста не упало.
NEG;Категорически не понимаю, что находят в этой книге.Пока осилил половину - и от роялей в кустах уже устал шарахаться.Идиот-император и его коллега Майлз. Поступки обоих совершенно нелогичны и высосаны из пальца - а уж их встреча после побега коронованного идиота вообще ни в какие вероятностные ворота не лезет. То, как некоронованный идиот в ситуации полной ж..ы относится к буквально лезущему ему в руки флоту, который эту ж..у может существенно изменить, свидетельствует о фимозе головного мозга в терминальной стадии.
POS;Вся серия книг очень даже не плоха. Есть и юмор и интрига, герои живые. интересные.
NEG;Неасилила. Нудно, грязно, скучно
POS;Читала давно. Сюжет из памяти стерся, но насколько помню впечатления от книги остались положительные.
NEG;Много разговоров и мало действий. Лишена диамизма.Ее недостаток в том что Лето знает все . Лишь ему известен правильный путь человечества , а осталные лишь подбирают крохи знаний. .Он так и ничему не научился и пользуясь своей предковой памятью подобен паразиту.Возможность прозревать будущее великий дар , а он носясь со свойей идеей Золотого Пути так и ничего и не добился. И что осталось в конце пара костей ? А если серьезно то выделю язык повествования - но нехватает деталей Книга тяжелая для прочтения и не для каждого.
POS;Сюжет довольно обычен, необычны взаимоотношения героев. Много грязи, много крови и смерти. Слишком реально для сказки коей является фэнтези. но иногда такие книги читать полезно, ибо описывают неприглядную реальность.
NEG;М-да. Словно школьное сочинение какого-нибудь третьеклассника читаешь. Долго читать мне не по силам, поэтому сюжет оценить не могу.
POS;Прочитала в восьмилетнем возрасте и была в восторге. Отличная, добрая сказка
NEG;Такого г... я давно не читал...Про какого мастера-вора пишется в этой трилогии, не понятно...по мне так этот Гарет больше смахивает на тупого, неуклюжего придурка!Постоянно попадает в переплеты и каждый раз его спасают друзья! Лох какой-то...А про то, как он налетел на секрет орков после того, как выбрался из Костяного дворца вообще читать смешно...как он дома грабить умудрялся, если часовых засеч не смог...одним словом - МУТОТА!!!
POS;Книга класс. Читается на одном дыхании. Жаль что короткая.
NEG;Три книги осилила и всё. Интереса нет. И главный герой какой-то серый, и никаких интриг и загадок. Да еще и начальство похабное, а народ как стадо баранов молча повинуется. Про стадо баранов читать не хочется. И повествование блеклое, незапоминающееся. Разочарована.
POS;Для боевой космической фантастики - очень даже хорошо. Особенно нравится, что автору удается достаточно непротиворечиво развивать Вселенную, впервые обрисованную Танком в "Ветер и сталь". Да, герои частенько идеальней и круче, чем теоретически возможно в жизни ... ну так на то они и герои :)
NEG;В общем, совершив насилие над собственной психикой могу сказать: " Книга "Три богатыря"" - редкосное говно, простите мне мой французкий.Автор не знает что такое предложение. Текст выглядит примерно так:"Алеша вышел. На улицу. Где ходили люди. Потому, что надо было."В третьем классе люди обычно уже могут сказать, где окончилась мысль. Некоторые даже знают, что такое запятая.Автор не знает языка, в достаточном объеме, что бы писать книги. Автор не умеет вести повествование. Сюжет все-таки есть, но тупой. Но он все таки есть. Говорить о том, что присутствуют "какие то рояли в кустах" не приходится - весь текст один большой и гнилой рояль. Высосано из пальца... из пальца ли?В общем этот кирпич из бумаги даже не книга - это именно кирпич, годный только на растопку костра, на котором будут жечь редактора, выпустившего эту дрянь. И вот это нам ЛИТРЕСС предлагает скачивать "за деньги"?Силюсь поставить оценку... 1? 1-это для очень плохой книги, но всетаки книги. Я предлагаю просто убрать этот мусор
POS;Книги понравились, несколько замедляли темп чтения, описания магии, но с этим как то смиряешься в процессе, как итог чтение похоже на качели, или волны, то взлетаешь на экшене, то замираешь, в процессе рассуждений ГГ или описания магии. Во второй книге слегка утомил бой в туннеле, чрезмерно длинно, хотя потом понял этот бой был центром первой части второй книги :) Как итог интересно, но нудновато.
NEG;Очередной штамп, мура.
POS;Порадовало, давно ничего хорошего не читал!
NEG;Очередная фантазия неудачницы (или просто не красивой девушки). Которая хочет "чтоб любил, не бил и защищал". Даже против воли. Таких ГГ просто презираю и даже до конца такие книги не читаю - тошнит по тому что.
POS;Отличная вещь! благо что попалась в хорошем переводе в отличие от первой книги серии "Стража!"
NEG;Прочитал обе книжки этой серии. Давно прочитал, года 2 назад. Если бы меня заставили писать рецензию тогда, то точно за маты бы забанили на Фензине. Ведь цензурными словами мне так и не удалось бы передать свои впечатления. Самое удивительное, что до сих пор не понимаю, а зачем я собственно эти книги читал? Язык автора страшный. До средне/плохого уровня не дотягивает. Идея, состоящая в бессмысленном нагромождении огромного количества космических рас (дабы показать все многообразие Вселенной) у меня лично отклика не нашла. А больше ничего существенного кроме жутко утомительных и тяжело представляемых поисков, в которых пребывают ГГ сейчас и не вспомню!!! А ведь у таких авторов как Панов, Рудазов, Ливадный, Лукьяненко (ранний период...сейчас похуже у него... ИМХО...), Карсак, Хайнлайн, Желязны, Азимов, Гаррисон, да тех же Стругацких, Булычева и в конце- концов Жюля Верна даже через десятки лет помню если не все детали, то точно уж всю сюжетную линию!!! Поберегите себя, люди добрые. Лучше проведите время за чем - то другим, нежели за чтением произведений господина Вольнова. В свое время меня никто не предупредил...
POS;Отличная книга, сразу после нее хорошо читать "к Оружию!".
NEG;Для дебюта - сойдет.Хотя на деле книга никакая. На великую империю надвигается мрак и тьма, несколько рыцарей некогда могучего ордена пытаются ее остановить, чтобы остановить надо в другом мире найти сына императора согласно древнему пророчеству, потом действие переходит в мир древней Руси... ТОСКА! Суперкрутого героя и тупого мачилова тут и правда нет, но книгу это не спасает.Персонажи неживые, действие угадывается вперед за километр, ряд сюжетных линий полезны лишь увеличением количества страниц, поначалу автора постоянно без дела мотает взад-вперед по временной шкале...
POS;Супер, наконец-то интересная, написанная хорошим языком книга!
POS;Хороша книга. Зерно мысли есть и зерно немаленькое.Спасибо автору, будем думать.
POS;С удовольствием прочитал эту книгу, причём не один раз, отличное боевое фентези. Конечно, кое-что взято из других книг, но в целом впечатление от книги остаётся хорошее. Читать весьма интересно. Порой сюжет так захватывает, что оторваться очень сложно. Первый раз читал книгу запоем. Единственный минус конец книги скомкан и от того получился беспантовым. Но если не обращать внимания на сию оплошность очень даже мощная и конкуретная книжечка!
POS;Книгу можно перечитать. Ближе к очередным выборам и не только.Автору еще раз спасибо.
POS;Отличный автор! Отличная книга! Читать интересно!
POS;Все мы немного дети в душе,и дай бог ими оставатся,не то превратимся в .... Читал с удоволствием,будет третья куплю не задумаваясь,ну почти не задумаваясь ))))
POS;Круто!!! Стоит прочитать! В сотый раз перечитываю!
NEG;Уже давно привык к дурным аннотациям, вот и решил начать читать. Прочёл первую главу. Ужасно. Напоминает рассказ третьеклассника "Как я провёл лето". Желание читать дальше отбито напрочь...
POS;Книга, от которой не можешь оторваться и при этом желаешь, чтобы она никогда не заканчивалась.
NEG;Не нравится. Не могу вчитаться, давно и сильно надоела политичность авторов.
POS;А мне понравилось. Не понравилось то, что явный закос аля терминатор, но вполне читабельно. 7 из 10
POS;Большой плюс романов Тырина – это то, что они очень легко читаются. «Желтая линия» не исключение. Роман удивительно сбалансирован – все здесь в меру, и юмор и трагедия, и размышления и даже есть место для сентиментальности. Книга о поиске своего места в жизни. Не часто теперь встретишь книгу способную после прочтения оставить двоякое чувство – тревоги и надежды. С первого взгляда это обычная история о «попаданцах» (наши случайно оказываются ГДЕ-ТО), но нет уж. Начинается как легкое непритязательное приключенческое чтиво, а заканчивается довольно серьезными выводами. В начале есть два противоположных типа – слабовольный неудавшийся поэт и разорившийся, но хваткий, адвокат по международному праву. По ходу романа они сильно изменяются, что показано убедительно и к финалу приходят совсем иными людьми. Не знаю как - лучшими или нет, но иными. Считаю, что этот роман заслуживает высоких оценок.
POS;В данный момент читаю "Нездешний" и мне очень нравится то что читаю. Книги действительно серьёзные. Читать необходимо всем, но вкусы могут отличаться.
NEG;Едва читабельно
POS;Очень приятный слог автора, легко читается, но как-то все просто - для детей сказочка
NEG;За речивостью а-ля Восток скука стоит. Скука.
POS;Несомненный плюс книги - отстуствие совковости. Уже за это можно ставить 10 баллов. Хотя я не любитель городского фэнтези вообще.
NEG;Скучно. Автору попробовать написать с Джоан Роулинг в дуэте труд под названием "Гарри Поттер и его команда". Глядишь, Голливуд экранизирует - там тоже потихоньку впадают в детство.
NEG;Детский лепет.
POS;Вау!Вау и еще раз вау!:)
POS;все впечатление о книге подпортила концовка. цикл до сего момента был скорее (псевдо)исторический, нежели фантастический, и очень зря автор решил сменить акценты. впрочем книга в любом случае заслуживает самой высокой оценки.
NEG;Мде, книжка "обабилась". И не надо было в ней писать про методы воспитания своих собственных детей, тошнить начинает.
POS;Читал книгу давно, но помню очень хорошо. Запала она мне в душу
NEG;Жвачка.Сюжет вроде ниче, но исполнение...и у мыльных опер есть свои поклонники. Но не я. Жвачка, что первая, что вторая. Четыре балла из 10, долистал ведь.
POS;Да, герой уже немного приелся. Да, сюжет повторяет последние две книги. Да, закончились прыжки во времени.Но книга вполне читаема, особенно на фоне остальной макулатуры. Псевдоисторическую фантастику не так уж просто писать... Автор действительно прикладывает какие-то усилия к написанию книг, а не описывает события очередной онлайн игры.
NEG;Так вот под каким псевдонимом скрывался Иващенко в молодости! Плачущий герой - это, блин, круто. Так он всех любит, так любит, так переживает если видит несправедливость, а даже самого захудалого фонда для голодающих детей Африки не организовал (хотя у самого денег навалом). Бедная старушка и 2-е сиротки - это единственная семья в мире, которой надо помочь..., что Глеб и сделал, успокоившись на этом. Про отсутствие логики и ущербную мотивацию героев говорить не буду, и так все понятно. Ну и концовка - почему там играл джаз??? Все положительные герои должны были кричать: "Друзья узнают, друзья придут" и плакать при этом, а боевики Папани хором скандировать: "Ластик, ластик, ластик!!!"
POS;Круто!!Начал читать первую не заметил как прочитал трью!!!Д.Страуд forever!!!
NEG;Герой, изначально знающий историю и технологии (в т.ч. политические) будущего, в этой книге превратился в тупого амера, которому нет дела до Государства Российского. ГГ знает о существовании ЦРУ, КГБ и прочих конторах и том, чем и как делается история государства - но его враги, враги царя и враги государства - живут и здравствуют. такого тупого и ленивого ГГ трудно сыскать.
POS;В целом - книга неплохая. Вампиры далеки от классики. Скорее чем-то эльфов напоминают. Новый взгляд, прочитать стоит.
NEG;Чем длиннее серия, тем хуже последние книги.Пора автору заняться прогрессорством, а не обыгрывать исторические события. Множество реальностей было заявлено ранее. Пора активно строить свою АИ. Тогда и приключения станут интереснее.
POS;Спасибо за книги этой серии.
POS;Книга просто класс!
POS;Читала запоем,оторваться было невозможно))  Потрясающий юмор, чудесные герои ,замечательная атмосфера, сами главы-притчи, мне нравится в этой книге всё! И незачем оставлять отзывы типа "бред","муть" и т п,если Вам не понравилось.Старая как мир поговорка про вкус и цвет знакома,по-моему, до сих пор не всем
NEG;Сюжет у книги очень слабый. Значимые события, действие как таковое отсутствуют — одна лишь бесцельная и безрезультатная суета, началось повествование ничем, ничем и закончилось. Нет ни одного мало-мальски привлекательного персонажа — только слабоумные бесхребетные истерики, амёбы. Как развитие сюжета, так и финал стандартны, предсказуемы и потому скучны. А в придачу — солидная примесь слегка закамуфлированной сексопаталогии. Ладно гомосексуализм, но педофилия — это уже слишком.Нет оригинальных сюжетных решений, ярких персонажей, интересной проблематики. «Интервью» — книга стереотипная, бесцветная и монотонная.
POS;Текстовая работа А. Райс безупречна — яркая красивая речь, краткие умелые описания, мастерские диалоги. Качественный перевод.
NEG;По-моему, книга обрела известность только из-за того, что она "о вампирах". А уж что там написано неважно. И то, что вампиры выписаны истеричными неврастениками, сходящими с ума из-за сирены машин или из-за вопросов религии... Сюжета действительно нет, только болтовня, лишенная динамики...
POS;Хорошая книга. Раньше очень кино любила, теперь смотреть его не могу. Слишком скомкано. Тут пишут, что нет динамики... Это не так. Просто акцент в книге сделан на другое - замечательно проработана психология всего происходящего. В ней не болтовня, в ней раскрытые души, самые сокровенные желания, мечты и страхи. Надо только научиться это понимать. Обо многих вещах меня заставила задуматься эта книга. И прошло уже лет 5, как я ее прочитала, до сих пор иногда она отзывается где-то внутри меня.
NEG;Да, если в первых двух книгах перед нами этакий молодой, но очень перспективный военный гений, играющий армиями и поражающий своей изворотливостью. То тут..какой то парень в детском лагере..способности не используются, интриги мало, единственные враги это страшные детки, всеми силами старающиеся попасть в военную академи и желающие для этого приобрести пару медалей в летнем лагере. Чудовищные враги, однако, вселенские.Короче, книга - тупняк, я бы сказал резкое понижение уровня и охвата действия. Выбросить ее..Сюжетец из палца..уж лучше б инопланетяне напали..
POS;Самая первая из Хроник и самая моя любимая книга. Очень сильная, депрессивная, меланхоличная и красивая. Необыкновено нравятся описания Нового Орлеана и Парижа - скорее Райсовская фантазия (или другой взгляд на мир), что исторический факт, но за душу действительно цепляет. Книга действительно Мистическая, без всяких так завуалированных социально-исторических прототипов и прочей ерунды.
NEG;Не-понравилось. Первые две, хоть и с натяжкой, но можно было назвать книгами для взрослых, эта книга не просто о детях, она для детей, причем совсем маленьких и слегка дебильных. Автору в срочном порядке изменить настольную книгу с Тимура на Повелителя Мух.
POS;Зашибенная книга, я просто в восторге! Как прочитала, так и подсела на все Вампирские Хроники, но всё равно считаю "Интервью" лучшим произведением из этой серии.
POS;Книга хорошая.Читать
POS;Читаю сейчас. Перекликается конечно с Маугли, но в современном варианте, очень даже нравится.
NEG;Смешанные чувства вызывает.С одной стороны, оригинальная задумка, с другой, неприятно читать. К тому же чувствуется, что книга написана более 40 лет назад. Для своего времени, безусловно, она была чем-то особенным. А сейчас, ИМХО, устарела. Если бы не популярный фильм, вряд ли бы ее читали до сих пор.
POS;Спасибо за замечательное произведение. Мне понравилось. Все может быть, даже то, чего не может быть. Еще отдельное спасибо за книгу. Кто не знает по мотивам именно этой книги сознана кальтовая игра 21 века S.T.A.L.K.E.R. кто не знает советую познакомиться.
NEG;Мне не нравится этот роман булгакова. Ненравится и все тут, не кажется мне он гениальным и филосовским, помойму бред. Это чисто мое мнение и я его никому не навязываю.
POS;Читать - стОит! 10 из 10, 100 из 100. Просто изумительно!
NEG;да ну вата..... ни че не понял, скучно недочитал:(
POS;Читал 3 раза, писал выпускное сочинение по этому роману. Просто замечательно - 10/10. Обязательно подлежит прочтению.
POS;Прочел впервые лет в 12ть, в виде 2рой или 3тьей копии с печатной машинки... Как раз годы развала Союза, еще небыло в свободном доступе... Что сказать - с тех пор перечитывал не один раз - и каждый приносил новое удовольствие от книги.....
POS;Булгаков это классика!!! До которой надо дорасти. А до тех пор и не смей в руки брать. Книга просто прелесть. Перечитывала не один раз. И даже не десяток. И на ночь, и так, когда есть настроение. Хотя не с разу поняла. Полностью прочиталасо 2 раза. И не сколько не жалею. Книга ЧУДО. Советаю прочитать. И не откидывать, если сразу не понравилось. А через какое-то время попробывать еще раз почитать. И не сравнивать. У Булгакова свой мир, свое понимание, своя философия. Её надо почувствовать. Пропустить через себя.
NEG;Мне не нравится эта книга. Чем-то претит такой взгляд на мир - не перевариваю религию в любом обрамлении. Но спорить о том, что это в своем роде шедевр - не буду конечно, потому что произведение знаковое (опять-таки для религиозных людей или для людей с религиозным типом мышления, что ли...)
POS;Ежели кто не читал, то без вариантов отложите всё и читайте. Потом перечитывайте
POS;Находились люди, которые критиковали Библию и Евангелие. Есть люди, которые не любят Пушкина. Граф Толстой Лев Николаевич терпеть не мог Шекспира. Плюрализм мнений. Будьте терпимы к тем, кто не любит Булгакова. Главное, что вы его любите. Однако оценивать роман, который давно стал классикой, причем мировой - как-то странно. Есть в этом некая рисовка - вот, я без ума от Булгакова и потому ставлю высший балл. А кто спорит, что балл может быть ниже? Разве только те, кому классическая книга кажется "ватой" - но это возрастное. Хотя замечено, что некоторые люди так и не взрослеют...
POS;Разумеется, произведение оригинальное и глубокое. Об этом только самые ленивые не сказали, поэтому я распространяться на эту тему не буду.
NEG;Давно хотел свежего Асприна. Очень на него непохоже. Жаль. Сдулся старик
POS;Прочитала с удовольствием. Произведение в стиле народных сказов и былин, написано очень красиво.
POS;Книга читается легко и интересно. Очень понравилась. Достаточно юмора, хорошо подобраны песни. Чем кстати, немного напоминает "Чародея с гитарой" ( не советую). Для тех, кто не в курсе это вторая часть. Автору поклон за хорошо сделанную работу. Жду продолжения.
POS;Немного отличается от серии про Вольху, но тоже понравилось. Где-то смешно, где-то печально до слез...
POS;Прочел обе за два дня, великолепно! Написана для тех кто в душе вечный студент, мое мнение!
POS;Книга понравилось.Грамотная комбинация раба Зыкова, некроманта Перумова. Очень интересно встроены песни, пришлось найти и послушать :)Читается легко и ненавязчиво.
POS;Хорошая книжка, простовато конечно, но хорошо.
POS;Проглотила книжечку за день. Приятно. Жду продолжения. РПГ. Но это мне нравится
POS;отличная книга...я не очень люблю Как Перумова так и Лукьяненко...) но эта книга просто потрясная...настолько захватывает в начале что не можешь оторваться пока не прочитаешь..и не узнаешь чем же закончилась..и окончание вполне соотвествует всей истории ...и не расскрывает все...то есть некотррые моменты приходится додумывать) мне очень понравилось
POS;Один хороший писатель + еще один хороший писатель = Очень отличная книга. В описанный мир прямо сейчас хочется переехать, а если еще при переходе получить получить знания магии стихии так радости предела не будет.
POS;Продолжение понравилось гораздо больше оригинала. Я о "Властелине". Читал запоем. Пока не прочел оторваться не смог!!! Ни о каком подажении и речи быть не может! Чисто Перумовская динамика сюжета!!!
POS;Очень хорошее окончание для Толкиенского "Властелина"!!!
POS;Перумов как всегда на высоте! Готов читать и перечитывать. Эту книгу перечитал уже дважды. Подумываю о четвертом прочтении.
POS;Книга отличная....но автору не мешало бы больше знать о вооружении,которое он описывает.Дело в том,что термобарическая бомба не взрывается в воде...но это мелочи :)Читать всем!
POS;Мне понравилась книга, точнее то, что не смотря ни на что, некоторые моменты заставляют задуматься. А это, я считаю, главное. Правда немного "грубо" написано, души маловато...
POS;Я люблю книги, о которых можно много спорить. В этой книге есть недостатки, но она может изменить взгляд на некоторые вещи, заставляет задуматься и обсудить ее с кем-то. Читается быстро и интересно.
POS;Эта книга, меня поразила своей способностью показывать знакомые нам вещи, с другой стороны, ранее нам не известной.
NEG;Мне творчество Дэна Брауна напоминает тот фильм, где Пирс Бронснан играет преподавателя литературы, обучающего студентов писать триллеры. Самих лекций там минут пять, но если слушать внимательно, и уж тем более конспектировать, можно запросто слепить триллер в стиле Дэна Брауна. Вообще-то я слегка несправедлив, когда я перестаю кататься по полу и угорать над действиями его наёмных убийц и прочих заговорщиков, я признаю, что он не плохо знает историю искусств. Но потом на глаза попадается файл "Цифровой крепости" и я опять начинаю кататься по полу. Кстати, тех французов, ну "Кровь Христа и Чаша Грааля" вроде бы, ну то с чего Браун слизал сюжет, кто-нибудь читал? Написано интереснее. Со всем уважением к высокой литературе.
